#,access,id,num_images,title,url,download_method,license,region,year,contact_or_notes
12,OPEN,github-omni-2025,4166,OMNI: Oral and Maxillofacial Natural Images Dataset for Malocclusion Assessment,https://github.com/RoundFaceJ/OMNI,GitHub (clone or releases),not_specified,"China (Soochow University, Changzhou)",2025,"5 standard views incl. frontal/lateral/occlusal. Includes brackets, aligners, ortho appliances, malocclusion traits. Mean age 10.4 -> strong pediatric+ortho overlap. COCO bboxes."
13,OPEN,roboflow-tesisdientes-oral-diseases-4162,4162,oral-diseases (tesisdientes),https://universe.roboflow.com/tesisdientes/oral-diseases-5ctay-rqpxs,Roboflow (browser or API),CC BY 4.0,,2024,Distinct from excluded roboflow-oral-lesion2; class taxonomy needs iter-3 verification
14,OPEN,roboflow-dental-plaque-sorbonne-teeth-detection-xdkru-3405,3405,"Dental Plaque Sorbonne — Teeth Detection (C1-C3 calculus, G1 gingivitis, PDI1-3 plaque)",https://universe.roboflow.com/dental-plaque-sorbonne/teeth-detection-xdkru,Roboflow (browser or API),CC BY 4.0,France (Sorbonne),2023,10 classes incl 3-level calculus + 3-level plaque; verify modality on download.
15,OPEN,oral-mamba-liu-2024,3365,"Oral-Mamba segmentation dataset (Liu et al., BMC Oral Health 2024)",https://doi.org/10.1186/s12903-024-05072-1,manual visit,CC BY-NC-ND 4.0,China,2024,Largest perio-relevant segmentation corpus found. Google Drive link in paper.
16,OPEN,gdrive-nanjing-oral-endoscopy-3365-mirror,3365,"Oral-Mamba Nanjing GDrive mirror (3365 imgs, calculus/gingivitis/caries)",https://drive.google.com/drive/folders/1vo_qv3EF9eG4Q2dPvtb_rXb4ttBkYJq_,Google Drive (browser),unspecified,China (Nanjing),2024,Same physical set as oral-mamba-liu-2024 (excluded); distinct access URL — flag dedupe
17,OPEN,datasetninja-dentalai-2495,2495,DentalAI - intraoral photograph dataset for instance segmentation of caries cavity crack,https://datasetninja.com/dentalai,manual visit,CC BY 4.0,unknown_mixed,2023,28904 labeled objects; train/val/test 1991/254/250; 1018 MB Supervisely format; CC BY 4.0; author-region attribution unclear - Flag for region verification; usable only if non-western origin confirmed
18,OPEN,figshare-smartom-31341790,2469,SMART-OM: Smartphone-based Expert Annotated Dataset of Oral Mucosa images,https://doi.org/10.6084/m9.figshare.31341790.v1,manual visit,CC BY 4.0,India (Ragas Dental College / multi-site),2026,"331 subjects, Android + iOS cameras, real-world clinical lighting; Scientific Data 2026"
19,OPEN,mendeley-9jnf2jvghy,2000,Caries-Spectra: A dataset of Enamel Caries,https://data.mendeley.com/datasets/9jnf2jvghy/2,Mendeley (browser direct),CC BY 4.0,Bangladesh,2024,2000 low-res 224x224 JPG intraoral images: 800 advanced + 800 early-stage + 400 no caries. Classification only (no bbox/mask). Collected by American International University Bangladesh + Bangladesh Un
20,OPEN,mendeley-phtw6rmwzd-enamel-caries,2000,Explainable Deep Learning Framework for Automated Classification of Enamel Caries (dataset + code),https://data.mendeley.com/datasets/phtw6rmwzd/1,Mendeley (browser direct),CC BY 4.0,"Saudi Arabia (King Faisal University, Faris Asiri)",2025,"2000 intraoral photos 224x224 JPG, 3 class folders, includes EnamelCaries_Experiment-II.py code. Low-res but bona-fide intraoral clinical photos. Published Nov 2025."
21,OPEN,figshare-siop-29761292,1350,SIOP dataset: Standardized Periodontal Intraoral Photographic-series,https://figshare.com/articles/dataset/SIOP_dataset/29761292,Figshare (browser direct),CC BY 4.0,China (Shanghai Stomatological Hospital),2025,150 SPIP series × 9 dentists = 1350 photos; strict 5-view protocol; quality-graded on 5 dimensions
22,OPEN,alphadent-2025,1320,AlphaDent instance-segmentation intraoral dataset,https://arxiv.org/abs/2507.22512,manual visit,Apache-2.0,Russia,2025,295 patients DSLR. Commercial-friendly license — rare for perio. Verify which classes are calculus/gingivitis.
23,OPEN,alphadent-zftu-v1.1,1320,AlphaDent: A dataset for automated tooth pathology detection,https://github.com/ZFTurbo/AlphaDent,GitHub (clone or releases),Apache-2.0,Russia,2025,DSLR intraoral macro (Canon 6D mk II + 100mm macro + intraoral mirror). Includes wear facets labels — directly in non-carious zone.
24,OPEN,zenodo-10580117-teledentistry-peru,1305,"Smartphone teledentistry caries detection dataset (Lima, Peru)",https://zenodo.org/doi/10.5281/zenodo.10580117,Zenodo (browser direct),CC BY 4.0,Peru (EsSALUD Lima),2024,87 patients × 15 intraoral photos (3 per view × 5 views) captured by family members using Xiaomi Redmi 9A + handheld mirror — rare selfie/mirror protocol. First LATAM dataset in the corpus.
25,OPEN,arxiv-2507.22512-alphadent,1200,AlphaDent: A dataset for automated tooth pathology detection,https://arxiv.org/abs/2507.22512,manual visit,CC BY-SA 4.0,Russia,2025,"1200+ DSLR photos (Canon 6D mark II + 100mm macro + intraoral mirror) from 295 patients, Jan 2024-Jan 2025. Instance segmentation. Caries is one of 9 classes, annotated with WHO 6-class caries scheme."
26,OPEN,scidb-tongue-inquiry-8417299d,1194,Tongue Image Dataset with Inquiry Data,https://www.scidb.cn/en/detail?dataSetId=8417299de5ef4f3db5ec62e01a969d54,manual visit,"CC BY 4.0 (SciDB default, verify)",China,2023,First TCM tongue+inquiry combo; landing 503 at fetch.
27,OPEN,roboflow-project-group13-dl-caries,1162,Dental Caries Detection using DL (Project Group13),https://universe.roboflow.com/project-group13/dental-caries-detection-using-dl,Roboflow (browser or API),CC BY 4.0,unknown (student project),2024,"1162 tooth-decay images, binary labels. 403 blocked direct page fetch; modality photos per project description; verify on download."
28,OPEN,iter3-perio-rvg-v1301-blacklist-confirm,1100,BLACKLIST: rvg-v1301 is X-RAY,https://github.com/YOLOv8-YOLOv11-Segmentation-Studio/rvg-v1301,GitHub (clone or releases),AGPL-3.0,China,2024,"RVG = radio-visio-graphy X-ray, NOT photo. Log to prevent re-chasing."
29,OPEN,mendeley-3253gj88rr,1096,Gingivitis image-captioning dataset,https://data.mendeley.com/datasets/3253gj88rr,Mendeley (browser direct),CC BY 4.0,unknown,2024,Macro frontal anterior — useful for frontal/macro close-up protocol.
30,OPEN,roboflow-aakash-npfax-dental-remote-areas-calculus-927,927,Dental care in remote areas (calculus) — Roboflow Universe,https://universe.roboflow.com/aakash-npfax/dental-care-in-remote-areas,Roboflow (browser or API),CC BY 4.0,India,2024,Single-class calculus detection; modality inferred intraoral photo; verify via page visit (503 at scan time).
31,OPEN,roboflow-jesse-perring-caries-detection,844,caries detection (Jesse Perring),https://universe.roboflow.com/jesse-perring/caries-detection-pqmf0-io8pp,Roboflow (browser or API),CC BY 4.0,unknown,2024,844 caries images per Roboflow listing; 403 blocked direct fetch; flagged intraoral pending visual verification.
32,OPEN,teethseg-io150k-rgb08k,800,IO150K (RGB0.8K subset only) - Intraoral RGB photos for orthodontic tooth instance segmentation,https://zoubo9034.github.io/TeethSEG/,manual visit,not_specified_research_use,China (CVPR 2024 Zou et al.),2024,Parent IO150K mixes 80K rendered-from-3D + 70K plaster photos + 800 real intraoral RGB. USABLE_SUBSET = RGB0.8K only (real pre-orthodontic intraoral photos). Reject Challenge80K (rendered from STL) an
33,OPEN,roboflow-oral-disease-detection-teeth-disease-m1uob-621,621,"Roboflow teeth-disease-m1uob (621 imgs, calculus/caries/healthy)",https://universe.roboflow.com/oral-disease-detection/teeth-disease-m1uob,Roboflow (browser or API),CC_BY_4.0,,2024,Pre-trained model bundled
34,OPEN,kaggle-maazmakhdoom-dental-cavity,500,Dental Cavity Detection Dataset (maazmakhdoom),https://www.kaggle.com/datasets/maazmakhdoom/dental-cavity-detection-dataset,Kaggle (browser or CLI),unspecified,unknown,2024,Referenced by MDPI Diagnostics 2026 (16/6/862) pediatric aggregation where 80 pediatric photos were extracted. Filter to photo subset on download; verify license.
35,OPEN,github-autooral-2024,420,Autooral: oral ulcer multi-task (segmentation + classification) clinical image dataset,https://github.com/wurenkai/HF-UNet-and-Autooral-dataset,GitHub (clone or releases),CC BY-NC-ND 4.0,China (Nanjing),2024,"80 clinical cases, 24-bit RGB 256x256, labeled by 3 dentists; Google Drive mirror; strongest aphthous/herpes/OSCC clinical photo source"
36,OPEN,mendeley-4mxj6rpv48-facial-profile,400,Facial Profile Soft Tissue Annotations for Orthodontic Diagnosis and Classification,https://data.mendeley.com/datasets/4mxj6rpv48/2,Mendeley (browser direct),CC BY 4.0,unknown,2024,BORDERLINE extraoral profile (not intraoral). Ortho diagnosis context.
37,OPEN,roboflow-dental-mate-crown-detection,362,Roboflow Dental Mate — Crown Detection,https://universe.roboflow.com/dental-mate/crown-detection-mdfa5,Roboflow (browser or API),varies,unknown,2024,Modality mixed — filter to intraoral photos.
38,OPEN,mendeley-mhjyrn35p4,323,Oral Images Dataset (Chandrashekar et al.) - mobile + intraoral camera benign vs malignant,https://data.mendeley.com/datasets/mhjyrn35p4/2,Mendeley (browser direct),CC BY 4.0,India (Karnataka),2021,165 benign + 158 malignant original; augmented folder separate; mobile + intraoral camera
39,OPEN,roboflow-bscs-8th-tooth-cavity-detection,312,tooth cavity detection (bscs 8th semester),https://universe.roboflow.com/bscs-8th-semester/tooth-cavity-detection,Roboflow (browser or API),CC BY 4.0,Pakistan (student team),2023,312 images with cavity bounding boxes; published ~2 years ago. Verified via WebSearch only; Roboflow page still returns 503/403.
40,OPEN,dryad-modid-multispectral-nvx0k6dxw,243,MODID Multispectral Oral Disease (Dryad mirror),https://datadryad.org/dataset/doi:10.5061/dryad.nvx0k6dxw,Dryad (browser direct),Dryad_default,,2024,"Dryad deposition separate from Zenodo mirror; 91 participants, 16 bands 460-600nm"
41,OPEN,mendeley-ndb-ufes-bbmmm4wgr8-reference-only,237,NDB-UFES Brazil oral cancer leukoplakia histopathology (LATAM reference only; excluded by histology modality),https://data.mendeley.com/datasets/bbmmm4wgr8/4,Mendeley (browser direct),CC BY 4.0,Brazil,2023,EXCLUDED BY MODALITY BLACKLIST (histology) - logged for LATAM coverage transparency only; UFES Brazil Federal University of Espirito Santo Oral Diagnosis project NDB 2010-2021; 89+57+91 images; 2048x1
42,OPEN,roboflow-orthodontic-noybl,218,Orthodontic Object Detection Dataset (Roboflow Universe),https://universe.roboflow.com/orthodontic/orthodontic-noybl,Roboflow (browser or API),roboflow_public_default,unknown,2024,Small (~218 imgs); needs manual verification that images are intraoral photos (not x-ray). Listed for completeness; low priority vs larger datasets.
43,OPEN,roboflow-gingivitis-t98xc,204,Roboflow digital-health-bg/gingivitis-t98xc (detection),https://universe.roboflow.com/digital-health-bg/gingivitis-t98xc,Roboflow (browser or API),varies,unknown,2024,Small community det set.
44,OPEN,roboflow-gingivitis-fdams,162,Roboflow gingivitis-dataset-fdams (segmentation),https://universe.roboflow.com/image-segmentation-ltmbq/gingivitis-dataset-fdams,Roboflow (browser or API),varies,unknown,2024,Small community seg set.
45,OPEN,mpox-skin-lesion-v2-hfmd-subset,161,Mpox Skin Lesion Dataset v2.0 - HFMD subset,https://github.com/mHealthBuet/Mpox-Skin-Lesion-Dataset-v2,GitHub (clone or releases),CC BY-NC-SA 4.0,Bangladesh + global web,2024,usable_subset = oral/perioral HFMD vesicles only. NC license.
46,OPEN,dfid-mltrmr-guizhou-131,131,"DFID: First open-source Dental Fluorosis Image Dataset (Guizhou, MLTrMR)",https://github.com/uxhao-o/MLTrMR,GitHub (clone or releases),repo_code_license_unspecified_dataset,China_Guizhou_endemic_coal_fluorosis,2024,26/49/36/20 balance; 560x448->512x512 optical camera; 7:3 split; endemic coal-burning belt.
47,OPEN,kaggle-zaidpy-oral-cancer-dataset,131,"Oral Cancer Dataset (Kaggle, zaidpy)",https://www.kaggle.com/datasets/zaidpy/oral-cancer-dataset,Kaggle (browser or CLI),unspecified_kaggle,,2023,"Clinical photos (NOT histology), 256x256 jpg"
48,OPEN,roboflow-yolov8-training-tooth-caries-3,89,Tooth Caries 3 (YOLO v8 training),https://universe.roboflow.com/yolo-v8-training/tooth-caries-3,Roboflow (browser or API),CC BY 4.0,unknown,2024,"Small (89 images, meets min>=50). Published June 2024. Useful as augmentation."
49,OPEN,roboflow-tooth-ytblb-dental-plaque-v6,70,Roboflow tooth-ytblb dental-plaque v6,https://universe.roboflow.com/tooth-ytblb/dental-plaque/dataset/6,Roboflow (browser or API),CC_BY_4.0,,2023,Auxiliary plaque masks
50,OPEN,aap-oral-health-image-gallery-pediatric,50,AAP Oral Health Image Gallery,https://www.aap.org/en/patient-care/oral-health/oral-health-image-gallery/,manual visit,AAP_educational_noncommercial_attribution,USA,2024,~50 imgs estimate. Non-commercial-only.
51,OPEN,roboflow-oral-lesion2,39,Oral lesion2 object detection dataset (benign / precancerous),https://universe.roboflow.com/kunchidsong-phosri/oral-lesion2,Roboflow (browser or API),Roboflow Public (CC BY 4.0 typical),Thailand,2024,Small dataset (<50 img target); useful as supplemental for detection; flagged for iteration 2 verification
52,OPEN,github-pknu-calculus,,PKNU-PR-ML-Lab calculus detection repo,https://github.com/PKNU-PR-ML-Lab/calculus,GitHub (clone or releases),MIT,South Korea,2023,Pusan Nat'l U lab repo.
53,OPEN,figshare-19641750-fluorosis-raw,,Raw data for dental fluorosis,https://figshare.com/articles/dataset/Raw_data_for_dental_fluorosis/19641750,Figshare (browser direct),CC BY 4.0 (verify),unknown,2022,Fetch returned 503. Content type unconfirmed. Re-verify iter 2.
54,OPEN,zenodo-14622450-athletes-caries-erosion,,"Dental caries, tooth erosion and nutritional habits in a cohort of athletes",https://zenodo.org/records/14622450,Zenodo (browser direct),CC BY 4.0,Europe,2025,Tabular only; no photos. usable_subset=none for image pipeline.
55,OPEN,nature-s41597-024-04099-x-multispectral,,In-vivo non-contact multispectral oral disease image dataset with segmentation,https://www.nature.com/articles/s41597-024-04099-x,manual visit,CC BY 4.0,India,2024,"91 participants (15 healthy + 76 diseased); Dryad-hosted; multispectral but in-vivo clinical, NOT histology. Useful for leukoplakia/OSMF/OSCC."
56,OPEN,roboflow-havij-caries-tsrca,,Roboflow Universe CaRies Instance Segmentation (Havij),https://universe.roboflow.com/havij/caries-tsrca-guzap,Roboflow (browser or API),varies,unknown,2024,Modality mixed — intraoral subset must be filtered. Good for pre-training after triage.
57,OPEN,roboflow-ai-dentistry-yang-dental,,AI in Dentistry — Yang Dental intraoral cam instance segmentation,https://universe.roboflow.com/ai-in-dentistry/ai-in-dentistry-images-using-intraoral-cam-at-yang-dental,Roboflow (browser or API),varies,unknown,2024,Intraoral wand camera. Good for in-situ restoration ctx.
58,OPEN,roboflow-restoration-filling-aggregate,,Roboflow Universe aggregate — class:filling + class:restoration + class:veneer + class:implant_crown index,https://universe.roboflow.com/search?q=class%3Afilling+intraoral,Roboflow (browser or API),varies_per_project,multi,2025,Aggregator placeholder — iter_2 must WebFetch per-project to separate intraoral-photo subsets from X-ray ones.
59,OPEN,dib-bangladesh-6class,,A comprehensive dental dataset of six classes for deep learning based object detection study,https://www.sciencedirect.com/science/article/pii/S2352340924009326,manual visit,CC BY 4.0,Bangladesh,2024,Multi-source Bangladesh Prescription Point LabAid IbnSina; 232 patients; N_images to confirm; usable_subset intraoral photos
60,OPEN,nature-sd-osmf-oscc-2024,,High-resolution AI image dataset for diagnosing oral submucous fibrosis and squamous cell carcinoma,https://www.nature.com/articles/s41597-024-03836-6,manual visit,CC BY 4.0,India,2024,ORCHID-related Indian OSMF/OSCC intraoral image dataset high-resolution; exact count to confirm
61,OPEN,roboflow-jb-okcsk-kaggle-dental-caries,,kaggle dental caries (jb-okcsk),https://universe.roboflow.com/jb-okcsk/kaggle-dental-caries,Roboflow (browser or API),CC BY 4.0,unknown (re-upload of Kaggle data),2024,Jan 2024 re-labelled Kaggle caries dataset. modality_mixed=true since Kaggle source may include X-ray samples. Image count not surfaced.
62,OPEN,github-priyanshu9898-oral-disease-6class,,"Priyanshu9898/Oral-Disease-Classification (6-class, MIT)",https://github.com/Priyanshu9898/Oral-Disease-Classification,GitHub (clone or releases),MIT,,2024,GDrive file 13NFWEqtL_3Vxsr02ehXoYTapp63dMIDM; perio classes = calculus+gingivitis
63,OPEN,figshare-code-oral-mucosa-30550889,,CODE - Comprehensive Oral Mucosa Database with Explanations,https://figshare.com/articles/dataset/_b_CODE_-_b_i_Comprehensive_Oral_mucosa_Database_with_Explanations_i_/30550889,Figshare (browser direct),CC BY 4.0,India (ICMR Ragas Chennai),2025,"110 participants, mobile-phone intraoral; lichen planus+lichenoid explicit"
64,OPEN,huggingface-lines-open-domain-oral-disease-qa,,Open-Domain Oral Disease QA Dataset,https://huggingface.co/datasets/Lines/Open-Domain-Oral-Disease-QA-Dataset,HuggingFace (browser direct),HF_default,,2024,VLM-style; usable_subset=images
65,OPEN,kaggle-bavithravairam-mouth-ulcer,,mouth_ulcer (bavithravairam),https://www.kaggle.com/datasets/bavithravairam/mouth-ulcer,Kaggle (browser or CLI),kaggle_default,,,LOW-CONFIDENCE metadata
66,OPEN,kaggle-bavithravairam-oral-ulcer,,oral_ulcer (bavithravairam),https://www.kaggle.com/datasets/bavithravairam/oral-ulcer,Kaggle (browser or CLI),kaggle_default,,,
67,OPEN,kaggle-shlokmohanty-ulcer-classification,,Ulcer classification (shlokmohanty),https://www.kaggle.com/datasets/shlokmohanty/ulcer-classification,Kaggle (browser or CLI),kaggle_default,,,RISK: may mix oral+skin ulcers
68,OPEN,kaggle-santhoshsivang-calculus-dataset,,calculus_dataset (santhoshsivang),https://www.kaggle.com/datasets/santhoshsivang/calculus-dataset,Kaggle (browser or CLI),unknown,India (likely),2025,Uploaded Jan 2025; modality/license need verification post-download.
69,OPEN,frontiers-dde-mih-fluorosis-scoping-2025-1616109,,DDE scoping review photo atlas (MIH+fluorosis+hypoplasia),https://www.frontiersin.org/journals/oral-health/articles/10.3389/froh.2025.1616109/full,manual visit,CC_BY_4.0,multi_country_review,2025,Small CC-BY exemplar photo atlas across DDE continuum.
70,OPEN,frontiers-ai-witkop-ngs-1130175,,Witkop AI clinical photo series O-Rares (NGS+clinical),https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2023.1130175/full,manual visit,CC_BY_4.0,France_O-Rares_reference_centre,2023,French reference centre open-access photos of all 4 Witkop types.
71,OPEN,mdpi-genes-16-822-2025,,AI imaging+genomics Slovenia WES-24,https://www.mdpi.com/2073-4425/16/7/822,manual visit,CC_BY_4.0,Slovenia,2025,24 families; photo-only subset usable.
72,OPEN,osf-tgm5n-dental-ai-resources-list,,OSF Datasets for AI Dental Imaging — Resources list,https://osf.io/tgm5n/,manual visit,CC BY 4.0,"international (Uribe et al., Sage JDR 2024)",2024,Meta-resource; companion OSF a5pfe+mf897. Mine for un-logged photo entries in iter-4.
73,OPEN,kaggle-muhammadatef-oral-cancer-images-classification,,"Oral Cancer Images for Classification (Kaggle, muhammadatef)",https://www.kaggle.com/datasets/muhammadatef/oral-cancer-images-for-classification,Kaggle (browser or CLI),unspecified_kaggle,,,WebFetch 503; possibly histology via ashenafifasilkebede link. Manual verify.
74,OPEN,roboflow-dental-qlzfr-dental-problems,,Dental Problems Object Detection (12 classes incl. Periapical Abscess),https://universe.roboflow.com/dental-qlzfr/dental-problems,Roboflow (browser or API),unknown,,2023,Class pattern strongly suggests panoramic/periapical X-ray — needs manual verification; probable BLACKLIST if radiograph-only.
75,REQUEST,memosa-dataset-2026,30039,"MeMoSA: multi-country collection of over 30,000 oral mucosa images with clinically labelled lesions",https://www.nature.com/articles/s41597-026-06998-7,email/DUA contact,unspecified (per-workbench access),5 countries (multi-country),2026,LARGEST soft-tissue photo dataset found. Mobile device cameras. Biopsy verification where applicable. Workbench-gated access
76,REQUEST,memosa-multi-country-oral,30039,MeMoSA mobile oral mucosa screening archive,https://www.memosa.org/,email/DUA contact,credentialed_access,multi-country (5),2024,Largest smartphone intraoral mucosa archive; 5-country collection.
77,REQUEST,oii-ds-benchmark-wang-2023,19074,OII-DS: A benchmark Oral Implant Image Dataset for object detection and image classification evaluation,https://doi.org/10.1016/j.compbiomed.2023.107620,email/DUA contact,restricted_academic,China,2023,Subset-A 3834 CT imgs BLACKLISTED. Subset-B 15240 intraoral implant photos = restorative scope. usable_subset:Subset-B. Needs author request + in-situ-vs-ex-vivo verification.
78,REQUEST,zenodo-14571990,9201,An Annotated Clinical Image Dataset for Deep Learning-Based Classification of Oral Lesions (Cairo University),https://zenodo.org/records/14571990,email/DUA contact,CC BY 4.0 (non-commercial access per request),Egypt (Cairo University),2024,Mobile + DSLR; 4405 normal / 2314 low-risk / 2482 high-risk; labelled by oral medicine specialists
79,REQUEST,bdj-cairo-9201,9201,Annotated clinical image dataset for AI classification of malignant and potentially malignant oral lesions,https://www.nature.com/articles/s41415-025-9007-6,email/DUA contact,unspecified article supplementary,Egypt,2025,Oral Medicine Clinic Faculty of Dentistry Cairo University; 4405 normal 2314 low 2482 high; labeled by 2 oral medicine specialists; image dims up to 24M pixels
80,REQUEST,sunyatsen-zengcheng-pediatric-7671-2026,7671,Sun Yat-sen pediatric multi-view intraoral caries screening dataset,https://pmc.ncbi.nlm.nih.gov/articles/PMC12905764/,email/DUA contact,restricted,China (Sun Yat-sen Hospital of Stomatology + Guangzhou CDC),2026,3913 occlusal + 3758 smooth from 524 kids; custom retractor/mirror/LED device; questionnaires linked.
81,REQUEST,peerj-20140-bengbu-occlusion-7200,7200,Bengbu Medical University lateral-view occlusion dataset (7200 intraoral photos),https://peerj.com/articles/20140/,email/DUA contact,CC-BY 4.0 paper; dataset NOT released,China (Bengbu),2025,"5000@45° + 2200@90°, 1920x1280. Dataset institutional, code only."
82,REQUEST,bengbu-7200-occlusion-classification-2025,7200,"Bengbu Medical Univ. 7,200-image intraoral occlusion classification corpus",https://pmc.ncbi.nlm.nih.gov/articles/PMC12478310/,email/DUA contact,restricted,China (First Affiliated Hospital Bengbu Medical U.),2025,7200 photos / 6100 patients Jun22-Jun23; only code released.
83,REQUEST,mdpi-dentistry-malocclusion-5854,5854,Standardized intraoral photographs dataset for multi-class malocclusion detection IOTN,https://www.mdpi.com/2304-6767/14/1/60,email/DUA contact,article CC BY,China,2026,5 standard views labeled with 17 IOTN classes; YOLOv11 benchmark; origin to confirm China authorship noted
84,REQUEST,charite-berlin-5266-angle-lateral-2025,5266,Charité Berlin lateral intraoral photo corpus for Angle classification,https://pmc.ncbi.nlm.nih.gov/articles/PMC12861064/,email/DUA contact,restricted,Germany (Charité Berlin),2025,Largest single-view lateral intraoral orthodontic corpus identified.
85,REQUEST,segmentanytooth-hcmc,5000,"SegmentAnyTooth multi-view intraoral dataset (HCMC UMP, Vietnam)",https://github.com/thangngoc89/SegmentAnyTooth,email/DUA contact,research_only_on_request,Vietnam,2024,1000 subjects x 5 standard views (953 subjects usable). Weights/data on request.
86,REQUEST,nanchang-university-kouqiang-3869-perio-screening-2025-lead,3869,"Nanchang Univ 3,869 intraoral photos perio screening (Zhang 2025 CN)",http://manu45.magtech.com.cn/Jwk_kqyxyj/CN/abstract/abstract2506.shtml,email/DUA contact,unknown,China,2025,578 subjects. OUTREACH lead iter-5.
87,REQUEST,bspc-s1746809425008481-3246-40class-2025,3246,"Multiclass classification of oral mucosal lesions from clinical images (3246 imgs, 1013 patients, 40 categories)",https://www.sciencedirect.com/science/article/pii/S1746809425008481,email/DUA contact,publisher_copyright,unspecified,2025,iter-3 resolution; 1013 patients; BSPC July 2025; gated
88,REQUEST,mih-cnn-springer-2022-3241,3241,Intraoral photograph dataset for AI-based MIH diagnostics (3241 images),https://link.springer.com/article/10.1007/s00784-022-04552-4,email/DUA contact,unknown_paper_only,Germany,2022,3241 intraoral photos (train 2596 / test 649). Contact authors iter 2.
89,REQUEST,bmc-hibogi-cimahi-indonesia-3221-2025,3221,HI Bogi: YOLO-V8x dental caries dataset of Cimahi primary school children (Indonesia),https://doi.org/10.1186/s12903-025-07486-x,email/DUA contact,not_specified,Indonesia,2025,Cimahi; 5 schools + 3 community health centers; 3221 JPG; train 2266/val 635/test 320. First SEA primary-school caries dataset.
