category,open_datasets,open_images_sum,request_datasets,request_images_sum,open_dataset_ids,request_dataset_ids
crack_fracture,6,16817,2,1194,github-autooral-2024;roboflow-bitcamp-dental-j1vge;datasetninja-dentalai-2495;dryad-tcm-tongue-1c59zw48r;scidb-tongue-inquiry-8417299d;roboflow-dental-qlzfr-dental-problems,human-tooth-crack-nir-2024;heliyon-tooth-crack-deeplabv3plus-2024
restoration_composite_amalgam,7,14084,4,3808,alphadent-zftu-v1.1;roboflow-havij-caries-tsrca;roboflow-ai-dentistry-yang-dental;roboflow-restoration-filling-aggregate;roboflow-orthodontic-noybl;roboflow-dental-anomaly-6557;roboflow-bitcamp-dental-j1vge,osaka-prosthesis-1904-takahashi-2021;osaka-prosthodontics-contact-draft-2026;github-tooth-segmentation44-yolov8;s41598-025-25960-y-vietnam-mih-1834-northern
primary_mixed_dentition,3,15925,1,143,zenodo-14827784;mendeley-6zsnhrds9t;aap-oral-health-image-gallery-pediatric,schwarzmaier-143-ecc-anterior-deciduous-2024
fibroma_benign,2,362,3,8318,mendeley-mhjyrn35p4;roboflow-oral-lesion2,zenodo-10664056;claseg-2072-scirep-2025-s41598-025-03268-1;bspc-s1746809425008481-3246-40class-2025
erosion_wear,3,7877,2,388,alphadent-zftu-v1.1;zenodo-14622450-athletes-caries-erosion;roboflow-dental-anomaly-6557,pku-tooth-wear-grading-388;preprints-2025-tooth-wear-portuguese-community
mih_hypomin,2,0,11,5708,frontiers-dde-mih-fluorosis-scoping-2025-1616109;frontiers-ai-witkop-ngs-1130175,mih-cnn-springer-2022-3241;frontiers-mih-central-china-1568;mdpi-mih-oct-photonics-799-2025;coi-skin-dde-pediatric-2025-06326;bmc-mixed-dentition-intraoral-2025-06866;cleft-mih-6432-coi-2025-06311;plos-one-0310420-mexican-fluorosis-mih-573;s41598-025-25960-y-vietnam-mih-1834-northern;dongthap-vietnam-mih-2025-40589688;abha-ksa-mih-520-kingkhalid-2026;mdpi-jcm-14-8959-enamel-caries-dl-2025
pigmentation,1,1320,1,2072,alphadent-zftu-v1.1,claseg-2072-scirep-2025-s41598-025-03268-1
fluorosis,4,181,6,2467,figshare-19641750-fluorosis-raw;aap-oral-health-image-gallery-pediatric;dfid-mltrmr-guizhou-131;frontiers-dde-mih-fluorosis-scoping-2025-1616109,github-yunwu2024-dental-fluorosis;jmir-e91239-colorado-fluorosis-2026;frontiers-mih-central-china-1568;bmc-mixed-dentition-intraoral-2025-06866;plos-one-0310420-mexican-fluorosis-mih-573;mdpi-jcm-14-8959-enamel-caries-dl-2025
leukoplakia,4,480,2,2072,nature-s41597-024-04099-x-multispectral;figshare-code-oral-mucosa-30550889;dryad-modid-multispectral-nvx0k6dxw;mendeley-ndb-ufes-bbmmm4wgr8-reference-only,opmdcare-atlas-photos-2026;claseg-2072-scirep-2025-s41598-025-03268-1
ulcer_aphthous,6,420,1,2072,github-autooral-2024;dib-bangladesh-6class;github-priyanshu9898-oral-disease-6class;kaggle-bavithravairam-mouth-ulcer;kaggle-bavithravairam-oral-ulcer;kaggle-shlokmohanty-ulcer-classification,claseg-2072-scirep-2025-s41598-025-03268-1
candidiasis,0,0,1,2072,,claseg-2072-scirep-2025-s41598-025-03268-1
cyst,0,0,1,2072,,claseg-2072-scirep-2025-s41598-025-03268-1
lichen_planus,1,0,2,2072,figshare-code-oral-mucosa-30550889,opmdcare-atlas-photos-2026;claseg-2072-scirep-2025-s41598-025-03268-1
recession,0,0,1,1800,,fdtooth-scidata-2025
herpes_viral,1,420,0,0,github-autooral-2024,
amelogenesis_imperfecta,2,0,0,0,dib-bangladesh-6class;github-priyanshu9898-oral-disease-6class,
angular_cheilitis,0,0,1,0,,opmdcare-atlas-photos-2026
surgical_acute,1,0,1,0,roboflow-dental-qlzfr-dental-problems,s41598-025-25960-y-vietnam-mih-1834-northern
