id,num_images,url,source_platform,modality,license,region_origin,year,notes
roboflow-tesisdientes-oral-diseases-4162,4162,https://universe.roboflow.com/tesisdientes/oral-diseases-5ctay-rqpxs,Roboflow_Universe,intraoral_photo,CC BY 4.0,,2024,Distinct from excluded roboflow-oral-lesion2; class taxonomy needs iter-3 verification
roboflow-dental-plaque-sorbonne-teeth-detection-xdkru-3405,3405,https://universe.roboflow.com/dental-plaque-sorbonne/teeth-detection-xdkru,Roboflow Universe,intraoral_photo,CC BY 4.0,France (Sorbonne),2023,10 classes incl 3-level calculus + 3-level plaque; verify modality on download.
oral-mamba-liu-2024,3365,https://doi.org/10.1186/s12903-024-05072-1,BMC/Google Drive,intraoral_photo,CC BY-NC-ND 4.0,China,2024,Largest perio-relevant segmentation corpus found. Google Drive link in paper.
gdrive-nanjing-oral-endoscopy-3365-mirror,3365,https://drive.google.com/drive/folders/1vo_qv3EF9eG4Q2dPvtb_rXb4ttBkYJq_,GoogleDrive,intraoral_photo,unspecified,China (Nanjing),2024,Same physical set as oral-mamba-liu-2024 (excluded); distinct access URL — flag dedupe
datasetninja-dentalai-2495,2495,https://datasetninja.com/dentalai,Dataset Ninja (Supervisely),intraoral_photo,CC BY 4.0,unknown_mixed,2023,28904 labeled objects; train/val/test 1991/254/250; 1018 MB Supervisely format; CC BY 4.0; author-region attribution unclear - Flag for region verification; usable only if non-western origin confirmed else exclude
figshare-smartom-31341790,2469,https://doi.org/10.6084/m9.figshare.31341790.v1,Figshare,intraoral_photo,CC BY 4.0,India (Ragas Dental College / multi-site),2026,"331 subjects, Android + iOS cameras, real-world clinical lighting; Scientific Data 2026"
mendeley-9jnf2jvghy,2000,https://data.mendeley.com/datasets/9jnf2jvghy/2,Mendeley Data,intraoral_photo,CC BY 4.0,Bangladesh,2024,2000 low-res 224x224 JPG intraoral images: 800 advanced + 800 early-stage + 400 no caries. Classification only (no bbox/mask). Collected by American International University Bangladesh + Bangladesh University of Business and Technology. Permissive license.
mendeley-phtw6rmwzd-enamel-caries,2000,https://data.mendeley.com/datasets/phtw6rmwzd/1,Mendeley Data,intraoral_photo,CC BY 4.0,"Saudi Arabia (King Faisal University, Faris Asiri)",2025,"2000 intraoral photos 224x224 JPG, 3 class folders, includes EnamelCaries_Experiment-II.py code. Low-res but bona-fide intraoral clinical photos. Published Nov 2025."
figshare-siop-29761292,1350,https://figshare.com/articles/dataset/SIOP_dataset/29761292,Figshare,intraoral_photo,CC BY 4.0,China (Shanghai Stomatological Hospital),2025,150 SPIP series × 9 dentists = 1350 photos; strict 5-view protocol; quality-graded on 5 dimensions
alphadent-2025,1320,https://arxiv.org/abs/2507.22512,arXiv/Zenodo/Kaggle/HF,intraoral_photo,Apache-2.0,Russia,2025,295 patients DSLR. Commercial-friendly license — rare for perio. Verify which classes are calculus/gingivitis.
alphadent-zftu-v1.1,1320,https://github.com/ZFTurbo/AlphaDent,GitHub+Zenodo+Kaggle+HuggingFace,intraoral_photo,Apache-2.0,Russia,2025,DSLR intraoral macro (Canon 6D mk II + 100mm macro + intraoral mirror). Includes wear facets labels — directly in non-carious zone.
zenodo-10580117-teledentistry-peru,1305,https://zenodo.org/doi/10.5281/zenodo.10580117,Zenodo,intraoral_photo,CC BY 4.0,Peru (EsSALUD Lima),2024,87 patients × 15 intraoral photos (3 per view × 5 views) captured by family members using Xiaomi Redmi 9A + handheld mirror — rare selfie/mirror protocol. First LATAM dataset in the corpus.
arxiv-2507.22512-alphadent,1200,https://arxiv.org/abs/2507.22512,arXiv (dataset linked in paper),intraoral_photo,CC BY-SA 4.0,Russia,2025,"1200+ DSLR photos (Canon 6D mark II + 100mm macro + intraoral mirror) from 295 patients, Jan 2024-Jan 2025. Instance segmentation. Caries is one of 9 classes, annotated with WHO 6-class caries scheme. Training/inference code and weights also open. Dataset URL to verify in paper/GitHub."
scidb-tongue-inquiry-8417299d,1194,https://www.scidb.cn/en/detail?dataSetId=8417299de5ef4f3db5ec62e01a969d54,SciDB.cn,intraoral_photo,"CC BY 4.0 (SciDB default, verify)",China,2023,First TCM tongue+inquiry combo; landing 503 at fetch.
roboflow-project-group13-dl-caries,1162,https://universe.roboflow.com/project-group13/dental-caries-detection-using-dl,Roboflow Universe,intraoral_photo,CC BY 4.0,unknown (student project),2024,"1162 tooth-decay images, binary labels. 403 blocked direct page fetch; modality photos per project description; verify on download."
iter3-perio-rvg-v1301-blacklist-confirm,1100,https://github.com/YOLOv8-YOLOv11-Segmentation-Studio/rvg-v1301,blacklist_confirm,radiograph,AGPL-3.0,China,2024,"RVG = radio-visio-graphy X-ray, NOT photo. Log to prevent re-chasing."
mendeley-3253gj88rr,1096,https://data.mendeley.com/datasets/3253gj88rr,Mendeley Data,intraoral_photo,CC BY 4.0,unknown,2024,Macro frontal anterior — useful for frontal/macro close-up protocol.
roboflow-aakash-npfax-dental-remote-areas-calculus-927,927,https://universe.roboflow.com/aakash-npfax/dental-care-in-remote-areas,Roboflow Universe,intraoral_photo,CC BY 4.0,India,2024,Single-class calculus detection; modality inferred intraoral photo; verify via page visit (503 at scan time).
roboflow-jesse-perring-caries-detection,844,https://universe.roboflow.com/jesse-perring/caries-detection-pqmf0-io8pp,Roboflow Universe,intraoral_photo,CC BY 4.0,unknown,2024,844 caries images per Roboflow listing; 403 blocked direct fetch; flagged intraoral pending visual verification.
teethseg-io150k-rgb08k,800,https://zoubo9034.github.io/TeethSEG/,GitHub/Google Drive,intraoral_photo,not_specified_research_use,China (CVPR 2024 Zou et al.),2024,"Parent IO150K mixes 80K rendered-from-3D + 70K plaster photos + 800 real intraoral RGB. USABLE_SUBSET = RGB0.8K only (real pre-orthodontic intraoral photos). Reject Challenge80K (rendered from STL) and Plaster70K (plaster models, not intraoral) halves per modality blacklist."
roboflow-oral-disease-detection-teeth-disease-m1uob-621,621,https://universe.roboflow.com/oral-disease-detection/teeth-disease-m1uob,Roboflow Universe,intraoral_photo,CC_BY_4.0,,2024,Pre-trained model bundled
kaggle-maazmakhdoom-dental-cavity,500,https://www.kaggle.com/datasets/maazmakhdoom/dental-cavity-detection-dataset,Kaggle,intraoral_photo,unspecified,unknown,2024,Referenced by MDPI Diagnostics 2026 (16/6/862) pediatric aggregation where 80 pediatric photos were extracted. Filter to photo subset on download; verify license.
github-autooral-2024,420,https://github.com/wurenkai/HF-UNet-and-Autooral-dataset,GitHub,intraoral_photo,CC BY-NC-ND 4.0,China (Nanjing),2024,"80 clinical cases, 24-bit RGB 256x256, labeled by 3 dentists; Google Drive mirror; strongest aphthous/herpes/OSCC clinical photo source"
mendeley-4mxj6rpv48-facial-profile,400,https://data.mendeley.com/datasets/4mxj6rpv48/2,Mendeley Data,extraoral_photo_facial_profile,CC BY 4.0,unknown,2024,BORDERLINE extraoral profile (not intraoral). Ortho diagnosis context.
roboflow-dental-mate-crown-detection,362,https://universe.roboflow.com/dental-mate/crown-detection-mdfa5,Roboflow Universe,intraoral_photo,varies,unknown,2024,Modality mixed — filter to intraoral photos.
mendeley-mhjyrn35p4,323,https://data.mendeley.com/datasets/mhjyrn35p4/2,Mendeley Data,intraoral_photo,CC BY 4.0,India (Karnataka),2021,165 benign + 158 malignant original; augmented folder separate; mobile + intraoral camera
roboflow-bscs-8th-tooth-cavity-detection,312,https://universe.roboflow.com/bscs-8th-semester/tooth-cavity-detection,Roboflow Universe,intraoral_photo,CC BY 4.0,Pakistan (student team),2023,312 images with cavity bounding boxes; published ~2 years ago. Verified via WebSearch only; Roboflow page still returns 503/403.
dryad-modid-multispectral-nvx0k6dxw,243,https://datadryad.org/dataset/doi:10.5061/dryad.nvx0k6dxw,Dryad,multispectral_intraoral_photo,Dryad_default,,2024,"Dryad deposition separate from Zenodo mirror; 91 participants, 16 bands 460-600nm"
mendeley-ndb-ufes-bbmmm4wgr8-reference-only,237,https://data.mendeley.com/datasets/bbmmm4wgr8/4,Mendeley Data,histology,CC BY 4.0,Brazil,2023,EXCLUDED BY MODALITY BLACKLIST (histology) - logged for LATAM coverage transparency only; UFES Brazil Federal University of Espirito Santo Oral Diagnosis project NDB 2010-2021; 89+57+91 images; 2048x1536 PNG; NOT usable for intraoral photo training; do NOT include in master_manifest
roboflow-orthodontic-noybl,218,https://universe.roboflow.com/orthodontic/orthodontic-noybl,Roboflow Universe,intraoral_photo,roboflow_public_default,unknown,2024,Small (~218 imgs); needs manual verification that images are intraoral photos (not x-ray). Listed for completeness; low priority vs larger datasets.
roboflow-gingivitis-t98xc,204,https://universe.roboflow.com/digital-health-bg/gingivitis-t98xc,Roboflow Universe,intraoral_photo,varies,unknown,2024,Small community det set.
roboflow-gingivitis-fdams,162,https://universe.roboflow.com/image-segmentation-ltmbq/gingivitis-dataset-fdams,Roboflow Universe,intraoral_photo,varies,unknown,2024,Small community seg set.
mpox-skin-lesion-v2-hfmd-subset,161,https://github.com/mHealthBuet/Mpox-Skin-Lesion-Dataset-v2,GitHub + Kaggle,clinical_photo_mixed_skin_oral,CC BY-NC-SA 4.0,Bangladesh + global web,2024,usable_subset = oral/perioral HFMD vesicles only. NC license.
dfid-mltrmr-guizhou-131,131,https://github.com/uxhao-o/MLTrMR,GitHub + arXiv 2404.13564,intraoral_photo,repo_code_license_unspecified_dataset,China_Guizhou_endemic_coal_fluorosis,2024,26/49/36/20 balance; 560x448->512x512 optical camera; 7:3 split; endemic coal-burning belt.
kaggle-zaidpy-oral-cancer-dataset,131,https://www.kaggle.com/datasets/zaidpy/oral-cancer-dataset,Kaggle,intraoral_photo,unspecified_kaggle,,2023,"Clinical photos (NOT histology), 256x256 jpg"
roboflow-yolov8-training-tooth-caries-3,89,https://universe.roboflow.com/yolo-v8-training/tooth-caries-3,Roboflow Universe,intraoral_photo,CC BY 4.0,unknown,2024,"Small (89 images, meets min>=50). Published June 2024. Useful as augmentation."
roboflow-tooth-ytblb-dental-plaque-v6,70,https://universe.roboflow.com/tooth-ytblb/dental-plaque/dataset/6,Roboflow Universe,intraoral_photo,CC_BY_4.0,,2023,Auxiliary plaque masks
aap-oral-health-image-gallery-pediatric,50,https://www.aap.org/en/patient-care/oral-health/oral-health-image-gallery/,AAP,intraoral_photo,AAP_educational_noncommercial_attribution,USA,2024,~50 imgs estimate. Non-commercial-only.
roboflow-oral-lesion2,39,https://universe.roboflow.com/kunchidsong-phosri/oral-lesion2,Roboflow Universe,intraoral_photo,Roboflow Public (CC BY 4.0 typical),Thailand,2024,Small dataset (<50 img target); useful as supplemental for detection; flagged for iteration 2 verification
github-pknu-calculus,,https://github.com/PKNU-PR-ML-Lab/calculus,GitHub,intraoral_photo,MIT,South Korea,2023,Pusan Nat'l U lab repo.
figshare-19641750-fluorosis-raw,,https://figshare.com/articles/dataset/Raw_data_for_dental_fluorosis/19641750,Figshare,unknown_possibly_tabular,CC BY 4.0 (verify),unknown,2022,Fetch returned 503. Content type unconfirmed. Re-verify iter 2.
zenodo-14622450-athletes-caries-erosion,,https://zenodo.org/records/14622450,Zenodo,tabular_clinical_record,CC BY 4.0,Europe,2025,Tabular only; no photos. usable_subset=none for image pipeline.
nature-s41597-024-04099-x-multispectral,,https://www.nature.com/articles/s41597-024-04099-x,Scientific Data / Dryad,multispectral_intraoral_photo,CC BY 4.0,India,2024,"91 participants (15 healthy + 76 diseased); Dryad-hosted; multispectral but in-vivo clinical, NOT histology. Useful for leukoplakia/OSMF/OSCC."
roboflow-havij-caries-tsrca,,https://universe.roboflow.com/havij/caries-tsrca-guzap,Roboflow Universe,intraoral_photo,varies,unknown,2024,Modality mixed — intraoral subset must be filtered. Good for pre-training after triage.
roboflow-ai-dentistry-yang-dental,,https://universe.roboflow.com/ai-in-dentistry/ai-in-dentistry-images-using-intraoral-cam-at-yang-dental,Roboflow Universe,intraoral_photo,varies,unknown,2024,Intraoral wand camera. Good for in-situ restoration ctx.
roboflow-restoration-filling-aggregate,,https://universe.roboflow.com/search?q=class%3Afilling+intraoral,Roboflow Universe,intraoral_photo,varies_per_project,multi,2025,Aggregator placeholder — iter_2 must WebFetch per-project to separate intraoral-photo subsets from X-ray ones.
dib-bangladesh-6class,,https://www.sciencedirect.com/science/article/pii/S2352340924009326,Data in Brief Mendeley mirror,intraoral_photo,CC BY 4.0,Bangladesh,2024,Multi-source Bangladesh Prescription Point LabAid IbnSina; 232 patients; N_images to confirm; usable_subset intraoral photos
nature-sd-osmf-oscc-2024,,https://www.nature.com/articles/s41597-024-03836-6,Scientific Data Nature plus figshare,intraoral_photo,CC BY 4.0,India,2024,ORCHID-related Indian OSMF/OSCC intraoral image dataset high-resolution; exact count to confirm
roboflow-jb-okcsk-kaggle-dental-caries,,https://universe.roboflow.com/jb-okcsk/kaggle-dental-caries,Roboflow Universe,intraoral_photo,CC BY 4.0,unknown (re-upload of Kaggle data),2024,Jan 2024 re-labelled Kaggle caries dataset. modality_mixed=true since Kaggle source may include X-ray samples. Image count not surfaced.
github-priyanshu9898-oral-disease-6class,,https://github.com/Priyanshu9898/Oral-Disease-Classification,GitHub,intraoral_photo,MIT,,2024,GDrive file 13NFWEqtL_3Vxsr02ehXoYTapp63dMIDM; perio classes = calculus+gingivitis
figshare-code-oral-mucosa-30550889,,https://figshare.com/articles/dataset/_b_CODE_-_b_i_Comprehensive_Oral_mucosa_Database_with_Explanations_i_/30550889,Figshare,intraoral_photo,CC BY 4.0,India (ICMR Ragas Chennai),2025,"110 participants, mobile-phone intraoral; lichen planus+lichenoid explicit"
huggingface-lines-open-domain-oral-disease-qa,,https://huggingface.co/datasets/Lines/Open-Domain-Oral-Disease-QA-Dataset,HuggingFace,intraoral_photo_with_qa_text,HF_default,,2024,VLM-style; usable_subset=images
kaggle-bavithravairam-mouth-ulcer,,https://www.kaggle.com/datasets/bavithravairam/mouth-ulcer,Kaggle,intraoral_photo,kaggle_default,,,LOW-CONFIDENCE metadata
kaggle-bavithravairam-oral-ulcer,,https://www.kaggle.com/datasets/bavithravairam/oral-ulcer,Kaggle,intraoral_photo,kaggle_default,,,
kaggle-shlokmohanty-ulcer-classification,,https://www.kaggle.com/datasets/shlokmohanty/ulcer-classification,Kaggle,clinical_photo,kaggle_default,,,RISK: may mix oral+skin ulcers
kaggle-santhoshsivang-calculus-dataset,,https://www.kaggle.com/datasets/santhoshsivang/calculus-dataset,Kaggle,intraoral_photo,unknown,India (likely),2025,Uploaded Jan 2025; modality/license need verification post-download.
frontiers-dde-mih-fluorosis-scoping-2025-1616109,,https://www.frontiersin.org/journals/oral-health/articles/10.3389/froh.2025.1616109/full,Frontiers in Oral Health,intraoral_photo,CC_BY_4.0,multi_country_review,2025,Small CC-BY exemplar photo atlas across DDE continuum.
frontiers-ai-witkop-ngs-1130175,,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2023.1130175/full,Frontiers in Physiology,intraoral_photo,CC_BY_4.0,France_O-Rares_reference_centre,2023,French reference centre open-access photos of all 4 Witkop types.
mdpi-genes-16-822-2025,,https://www.mdpi.com/2073-4425/16/7/822,MDPI Genes,intraoral_photo,CC_BY_4.0,Slovenia,2025,24 families; photo-only subset usable.
osf-tgm5n-dental-ai-resources-list,,https://osf.io/tgm5n/,OSF,catalogue_meta,CC BY 4.0,"international (Uribe et al., Sage JDR 2024)",2024,Meta-resource; companion OSF a5pfe+mf897. Mine for un-logged photo entries in iter-4.
kaggle-muhammadatef-oral-cancer-images-classification,,https://www.kaggle.com/datasets/muhammadatef/oral-cancer-images-for-classification,Kaggle,intraoral_photo,unspecified_kaggle,,,WebFetch 503; possibly histology via ashenafifasilkebede link. Manual verify.
roboflow-dental-qlzfr-dental-problems,,https://universe.roboflow.com/dental-qlzfr/dental-problems,Roboflow Universe,mixed,unknown,,2023,Class pattern strongly suggests panoramic/periapical X-ray — needs manual verification; probable BLACKLIST if radiograph-only.
